krēsls,стул
siena,стена
grīda,пол
logs,окно
palodze,подоконник
paklājs,ковер
soma,сумка
portfelis,портфель
pulkstenis,часы
glezna,картина
burts,буква
burtnīca,тетрадь
pildspalva,авторучка
zīmulis,карандаш
papīrs,бумага
avīze,газета
vīrietis,мужчина
sieviete,женщина
zivs,рыба
priekšnieks,начальник
grāmatvedis,бухгалтер
pāprdavējs,продавец
kasieris,кассир
lācis,медведь
karogs,флаг
zeme,земля
griesti,потолок
tinte,чернила
skaists,красивый
balts,белый
sarkans,красный
pelēks,серый
zils,синий
zaķš,зеленый
brūns,коричневый
dzeltens,желтый
vēl,еще
arī,тоже
ja,если
jā,да
šeit,здесь
tur,там
kur,где
te,тут
tagad,сейчас
būsim parzīstami,будем знакомы
sakiet lūdzu,скажите пожалуйста
kur atrodas,где находится
