viens,1 (м.р.)
divi,2 (м.р.)
trīs,3 (м.р.)
četri,4 (м.р.)
pieci,5 (м.р.)
seši,6 (м.р.)
septiņi,7 (м.р.)
astoņi,8 (м.р.)
deviņi,9 (м.р.)
viena,1 (ж.р.)
divi,2 (ж.р.)
trīs,3 (ж.р.)
četras,4 (ж.р.)
piecas,5 (ж.р.)
sešas,6 (ж.р.)
septiņas,7 (ж.р.)
astoņas,8 (ж.р.)
deviņas,9 (ж.р.)
desmit,10
vienpadsmit,11
divpadsmit,12
trīspadsmit,13
četrpadsmit,14
piecpadsmit,15
sešpadsmit,16 
septiņpadsmit,17 
astoņpadsmit,18 
deviņpadsmit,19
divdesmit,20 
trīsdesmit,30 
četrdesmit,40 
piecdesmit,50 
sešdesmit,60 
septiņdesmit,70 
astoņdesmit,80 
deviņdesmit,90
simts,100
tūkstotis,1000
divi tukstoši,2000
